Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-08-11,19.253933878754754,20.01983284751281,19.253933878754754,19.83962059020996,506620,0.0,0.0
2000-08-14,19.831428819188858,20.028024291431265,19.761802492994704,19.946109771728516,551750,0.0,0.0
2000-08-15,19.946109771728516,19.946109771728516,19.946109771728516,19.946109771728516,0,0.0,0.0
2000-08-16,20.150894165039062,20.27376515654021,19.987065134777918,20.150894165039062,309750,0.0,0.0
2000-08-17,20.044410483494275,20.888127571387127,20.044410483494275,20.228717803955078,1182700,0.0,0.0
2000-08-18,19.987070929203202,19.987070929203202,19.4136722818348,19.6225528717041,2462310,0.0,0.0
2000-08-21,19.25802848533867,19.495578851389485,18.537182654972735,19.266220092773438,2801190,0.0,0.0
2000-08-22,19.102390477969546,19.102390477969546,18.758350788298166,18.881221771240234,1111770,0.0,0.0
2000-08-23,19.905151477490453,19.905151477490453,18.92218194072927,19.06962776184082,1075740,0.0,0.0
2000-08-24,19.086008060955624,19.151539358755024,18.897605775081026,18.967233657836914,390670,0.0,0.0
2000-08-25,18.8484587422292,20.208234419101256,18.8484587422292,19.561111450195312,2312720,0.0,0.0
2000-08-28,19.823236899222742,19.823236899222742,19.2457418553812,19.266220092773438,429230,0.0,0.0
2000-08-29,19.16792810218994,19.43005336898935,18.92218605516295,19.2293643951416,936450,0.0,0.0
2000-08-30,19.413661089734163,19.643019791498805,19.249832106426013,19.32355499267578,1113170,0.0,0.0
2000-08-31,19.200694219910908,19.65941342912126,19.200694219910908,19.606168746948242,438410,0.0,0.0
2000-09-01,19.606168746948242,19.606168746948242,19.606168746948242,19.606168746948242,0,0.0,0.0
2000-09-04,19.65941159592812,19.90515361592136,19.413669575934883,19.53244400024414,481800,0.0,0.0
2000-09-05,19.421857204593984,20.068980172343007,19.413667159018203,19.597972869873047,869690,0.0,0.0
2000-09-06,19.659407522683924,20.396634992306705,19.659407522683924,19.868288040161133,1091950,0.0,0.0
2000-09-07,19.565202184125585,20.068974206307438,19.565202184125585,19.66759490966797,697550,0.0,0.0
2000-09-08,19.503770795027616,19.98296968269104,19.503770795027616,19.540632247924805,664760,0.0,0.0
2000-09-11,19.577488811226193,19.823232289961314,19.577488811226193,19.66759490966797,673660,0.0,0.0
2000-09-12,19.585685420915038,19.638930089270055,19.290793796043435,19.352230072021484,930850,0.0,0.0
2000-09-13,19.49558131332129,19.536539355667372,19.258030917272247,19.31946563720703,473020,0.0,0.0
2000-09-14,19.09010272300539,19.35222788779966,19.00409319625525,19.0450496673584,924750,0.0,0.0
2000-09-15,18.93037302405595,18.93037302405595,18.307824886837093,18.647768020629883,1839060,0.0,0.0
2000-09-18,18.430698692753232,18.430698692753232,16.13710125816648,17.148740768432617,4094360,0.0,0.0
2000-09-19,16.91528431925185,19.249839653542352,16.223109796297496,18.868938446044922,3391350,0.0,0.0
2000-09-20,19.167922108052306,19.33175112976471,18.029315250558053,18.434789657592773,1342330,0.0,0.0
2000-09-21,18.430696504448537,18.533089262806584,18.02931707917173,18.35287857055664,788790,0.0,0.0
2000-09-22,18.02521761074883,18.258674499861872,17.61155162059996,17.767189025878906,1413240,0.0,0.0
2000-09-25,18.021126060153076,18.369260824995667,17.656608078464124,18.332399368286133,682890,0.0,0.0
2000-09-26,18.184955105933977,18.348782587247793,18.041604302096136,18.213624954223633,910820,0.0,0.0
2000-09-27,18.02112667285366,18.62729165527199,17.857297623599152,18.56585693359375,616410,0.0,0.0
2000-09-28,18.627289545849056,18.67234260741155,18.02112463207508,18.34058952331543,1231040,0.0,0.0
2000-09-29,18.676438387193098,19.700365964613543,18.242294094296106,19.18840217590332,1612480,0.0,0.0
2000-10-02,19.18840217590332,19.18840217590332,19.18840217590332,19.18840217590332,0,0.0,0.0
2000-10-03,19.167923998063003,19.659409549272723,18.840267484719693,19.602069854736328,1015840,0.0,0.0
